,Tytuł,Model telefonu,Wbudowana pamięć,Stan,Cena,Typ,Kolor,Data opublikowania ogłoszenia,URL
23,Iphone 14 pro 128 gb,iPhone 14 Pro,128GB,Używane,4 700 zł,Prywatne,Czarny,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128-gb-CID99-IDWNQxR.html
24,Iphone 14 128Gb nowy fabrycznie! Niebieski! gratis etui ochronne!,iPhone 14 Pro,128GB,Nowe,3 599 zł,Prywatne,Czarny,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-128gb-nowy-fabrycznie-niebieski-gratis-etui-ochronne-CID99-IDW8FDk.html
25,Apple  iPhone 14 Pro 128GB Silver,iPhone 14 Pro,128GB,Używane,4 299 zł,Firmowe,Srebrny,27 lipca 2023,https://www.olx.pl/d/oferta/apple-iphone-14-pro-128gb-silver-CID99-IDWC1BY.html
26,Telefon Apple iPhone 13 Pro 256GB Używany –Graphite –LEO–,iPhone 13 Pro,256GB,Używane,3 499 zł,Firmowe,Szary,07 sierpnia 2023,https://www.olx.pl/d/oferta/telefon-apple-iphone-13-pro-256gb-uzywany-graphite-leo-CID99-IDWgv04.html
27,iPhone 13 Pro Gold / GWARANCJA / Paragon / Idealny Stan,iPhone 13 Pro,128GB,Używane,3 800 zł,Prywatne,Złoty,06 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-gold-gwarancja-paragon-idealny-stan-CID99-IDWufuE.html
28,iPhone 13 Pro - 128GB  kondycja baterii 94%,iPhone 13 Pro,128GB,Używane,3 849 zł,Prywatne,Szary,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-kondycja-baterii-94-CID99-IDWnkz7.html
29,Nowy iPhone 14 pro Fiolet Purple REZERWACJA,iPhone 14 Pro,128GB,Nowe,4 700 zł,Prywatne,Fioletowy,08 sierpnia 2023,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-fiolet-purple-rezerwacja-CID99-IDWNP7i.html
30,Jak nowy iPhone 13 Pro 128gb ! Gwarancja ! Komplet !,iPhone 13 Pro,128GB,Używane,3 450 zł,Prywatne,Szary,08 sierpnia 2023,https://www.olx.pl/d/oferta/jak-nowy-iphone-13-pro-128gb-gwarancja-komplet-CID99-IDWNNpn.html
31,IPHONE 14 PRO 256GB GOLD Telakces Manufaktura Łódź,iPhone 14 Pro,256GB,Nowe,5 098 zł,Prywatne,Złoty,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-256gb-gold-telakces-manufaktura-lodz-CID99-IDSEJsG.html
32,iPhone 14 pro 128gb black czarny NOWY Gwarancja,iPhone 14 Pro,128GB,Nowe,4 550 zł,Prywatne,Czarny,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-black-czarny-nowy-gwarancja-CID99-IDWNKF6.html
33,Sprzedam iPhone 13 pro,iPhone 13 Pro,128GB,Używane,3 700 zł,Prywatne,Niebieski,08 sierpnia 2023,https://www.olx.pl/d/oferta/sprzedam-iphone-13-pro-CID99-IDWNKvi.html
34,iPhone 13 Pro 128GB Graphite | Bateria 90% | Gwarancja | Faktura |,iPhone 13 Pro,128GB,Używane,3 499 zł,Firmowe,Szary,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-graphite-bateria-90-gwarancja-faktura-CID99-IDTAAPF.html
35,"IDEALNY iPhone 13 Pro 256 Gb Graphite, BATT 100%",iPhone 13 Pro,256GB,Używane,3 699 zł,Prywatne,Szary,08 sierpnia 2023,https://www.olx.pl/d/oferta/idealny-iphone-13-pro-256-gb-graphite-batt-100-CID99-IDWIpj4.html
36,Iphone 13 pro 256gb kolory Kraków ul.krakowska 4 Sklep GSM,iPhone 13 Pro,256GB,Nowe,4 799 zł,Firmowe,,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-256gb-kolory-krakow-ul-krakowska-4-sklep-gsm-CID99-IDWvbXn.html
37,Nowy IPHONE 14 PRO Space black Zaplombowany  128Gb,iPhone 14 Pro,128GB,Nowe,4 490 zł,Prywatne,Czarny,08 sierpnia 2023,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-space-black-zaplombowany-128gb-CID99-IDWNJcU.html
38,"iPhone 14 pro 128 gb Czarny, zaplombowany , nieaktywowany",iPhone 14 Pro,128GB,Nowe,4 649 zł,Firmowe,Czarny,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128-gb-czarny-zaplombowany-nieaktywowany-CID99-IDWJtkD.html
39,iPhone 14 Pro 256Gb Space Gray,iPhone 14 Pro,256GB,Używane,4 450 zł,Prywatne,Czarny,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-256gb-space-gray-CID99-IDWMCRS.html
40,Nowy iPhone 14 Pro 258 GB Czarny,iPhone 14 Pro,256GB,Nowe,5 099 zł,Prywatne,Czarny,08 sierpnia 2023,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-258-gb-czarny-CID99-IDWGFwJ.html
41,NOWY iPhone 13 Pro 128GB Gold - Gwarancja,iPhone 13 Pro,128GB,Nowe,3 999 zł,Prywatne,Złoty,08 sierpnia 2023,https://www.olx.pl/d/oferta/nowy-iphone-13-pro-128gb-gold-gwarancja-CID99-IDWNHXt.html
42,NOWY iPhone 14 PRO 256GB 5G GOLD + GRATISY Warszawa,iPhone 14 Pro,256GB,Nowe,5 299 zł,Prywatne,Złoty,08 sierpnia 2023,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-256gb-5g-gold-gratisy-warszawa-CID99-IDW89Jm.html
43,iPhone 14 pro 128 gb silver 24 Msc. GW. Bez rat.,iPhone 14 Pro,128GB,Nowe,4 749 zł,Firmowe,Srebrny,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128-gb-silver-24-msc-gw-bez-rat-CID99-IDWJtvS.html
44,Apple iPhone 13 Pro 128 GB Sierra Blue nowy,iPhone 13 Pro,128GB,Nowe,4 500 zł,Prywatne,Niebieski,08 sierpnia 2023,https://www.olx.pl/d/oferta/apple-iphone-13-pro-128-gb-sierra-blue-nowy-CID99-IDWm4T5.html
45,iPhone 14 Pro 256gb,iPhone 14 Pro,256GB,Używane,4 600 zł,Prywatne,Czarny,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-256gb-CID99-IDWNFM6.html
46,Iphone 14 pro 128 czarny NOWY NA FIRME,iPhone 14 Pro,128GB,Nowe,4 400 zł,Prywatne,Czarny,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128-czarny-nowy-na-firme-CID99-IDWNF6g.html
47,iPhone 13 Pro Silver + gwarancja,iPhone 13 Pro,128GB,Używane,3 999 zł,Firmowe,Srebrny,08 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-silver-gwarancja-CID99-IDWNETW.html
48,Nowy fabrycznie zapakowany iPhone 14 PRO Space Black 256GB,iPhone 14 Pro,256GB,Nowe,5 450 zł,Prywatne,Czarny,08 sierpnia 2023,https://www.olx.pl/d/oferta/nowy-fabrycznie-zapakowany-iphone-14-pro-space-black-256gb-CID99-IDUhpUH.html
49,HIT! iPhone 14 Pro 128GB Space Black / Gwarancja 24 msc / Raty0%,iPhone 14 Pro,128GB,Używane,4 949 zł,Firmowe,Czarny,08 sierpnia 2023,https://www.olx.pl/d/oferta/hit-iphone-14-pro-128gb-space-black-gwarancja-24-msc-raty0-CID99-IDWNBzJ.html
