,Tytuł,Model telefonu,Wbudowana pamięć,Stan,Cena,Typ,Kolor,Data opublikowania ogłoszenia,URL
0,iPhone 14 Pro 512 GB Space Black VAT 23%,iPhone 14 Pro,512GB,Nowe,5 999 zł,Prywatne,Czarny,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-512-gb-space-black-vat-23-CID99-IDRhVVT.html
1,iPhone 14 Pro 128gb Czarny Złoty fioletowy Srebrny Żelazna 89 4700zł,iPhone 14 Pro,128GB,Nowe,4 700 zł,Firmowe,,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-czarny-zloty-fioletowy-srebrny-zelazna-89-4700zl-CID99-IDWl3BT.html
2,Iphone 14 pro 128gb -SREBRNY  nowy nie rozpakowany. Zdowodem zakupu.,iPhone 14 Pro,128GB,Nowe,4 700 zł,Prywatne,Srebrny,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-srebrny-nowy-nie-rozpakowany-zdowodem-zakupu-CID99-IDWMM4P.html
3,Iphone 14pro 256GB,iPhone 14 Pro,,Używane,4 000 zł,Prywatne,Biały,Dzisiaj o 11:25,https://www.olx.pl/d/oferta/iphone-14pro-256gb-CID99-IDWNfUz.html
4,iPhone 13 Pro Sierra Blue,iPhone 13 Pro,128GB,Nowe,4 899 zł,Firmowe,Niebieski,Dzisiaj o 11:22,https://www.olx.pl/d/oferta/iphone-13-pro-sierra-blue-CID99-IDWNfE3.html
5,IPhone 14 pro silver 128 gb używany przez kobietę,iPhone 14 Pro,128GB,Używane,4 700 zł,Prywatne,Srebrny,Dzisiaj o 11:05,https://www.olx.pl/d/oferta/iphone-14-pro-silver-128-gb-uzywany-przez-kobiete-CID99-IDWhxF6.html
6,Nowy IPhone 14 Pro 256gb Space Black gw12mc,iPhone 14 Pro,256GB,Nowe,4 800 zł,Prywatne,Czarny,Dzisiaj o 10:51,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-256gb-space-black-gw12mc-CID99-IDWK5z6.html
7,"Nowy IPhone 13pro, niebieski",iPhone 13 Pro,,Nowe,5 500 zł,Prywatne,,Dzisiaj o 10:44,https://www.olx.pl/d/oferta/nowy-iphone-13pro-niebieski-CID99-IDOic9A.html
8,iPhone 14 Pro 128 GB bateria 100%,iPhone 14 Pro,128GB,Używane,4 200 zł,Prywatne,Fioletowy,Dzisiaj o 09:54,https://www.olx.pl/d/oferta/iphone-14-pro-128-gb-bateria-100-CID99-IDWJ2Mh.html
9,Sklep iPhone 14 Pro 256gb Purple bateria 100% gwar prod,iPhone 14 Pro,,Używane,5 649 zł,Firmowe,,Dzisiaj o 09:45,https://www.olx.pl/d/oferta/sklep-iphone-14-pro-256gb-purple-bateria-100-gwar-prod-CID99-IDTtBuY.html
10,**HIT**iPhone 14 Pro 128 GB Deep Purple/ Gwarancja 24 mc/ Raty 0%,iPhone 14 Pro,128GB,Używane,4 949 zł,Firmowe,Czarny,Dzisiaj o 09:20,https://www.olx.pl/d/oferta/hitiphone-14-pro-128-gb-deep-purple-gwarancja-24-mc-raty-0-CID99-IDWN6EW.html
11,Sklep iPhone 13 Pro 128gb graphite bateria 100% gwar prod,iPhone 13 Pro,,Używane,4 399 zł,Firmowe,,Dzisiaj o 09:16,https://www.olx.pl/d/oferta/sklep-iphone-13-pro-128gb-graphite-bateria-100-gwar-prod-CID99-IDSXVYP.html
12,Jak Nowy Apple iPhone 13 Pro 256GB Silver Gwarancja,iPhone 13 Pro,,Używane,4 099 zł,Firmowe,,Dzisiaj o 09:13,https://www.olx.pl/d/oferta/jak-nowy-apple-iphone-13-pro-256gb-silver-gwarancja-CID99-IDTYwvZ.html
13,iPhone 13 pro 128gb stan bardzo dobry Szczecin,iPhone 13 Pro,128GB,Używane,3 500 zł,Prywatne,Czarny,01 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-stan-bardzo-dobry-szczecin-CID99-IDWbDXG.html
14,"iPhone 13 Pro 1TB, Stan IDELANY",iPhone 13 Pro,Inna,Używane,4 100 zł,Prywatne,Czarny,05 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-1tb-stan-idelany-CID99-IDWELFF.html
15,iPhone 13 Pro 128 GB Gold. Bateria 97%. Gwarancja 12 miesięcy.,iPhone 13 Pro,128GB,Używane,3 800 zł,Firmowe,,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-128-gb-gold-bateria-97-gwarancja-12-miesiecy-CID99-IDWLPnM.html
16,Apple IPhone 14 Pro 512 GB Gwiezdna Czerń Nówka,iPhone 14 Pro,512GB,Nowe,5 900 zł,Prywatne,Czarny,Dzisiaj o 08:48,https://www.olx.pl/d/oferta/apple-iphone-14-pro-512-gb-gwiezdna-czern-nowka-CID99-IDWN4ku.html
17,IPhone 14 Pro telefon NOWY,iPhone 14 Pro,128GB,Nowe,5 300 zł,Prywatne,Biały,Dzisiaj o 08:27,https://www.olx.pl/d/oferta/iphone-14-pro-telefon-nowy-CID99-IDWN34q.html
18,IPhone 13 Pro 256 Gb stan idealny gwarancja,iPhone 13 Pro,,Używane,4 200 zł,Prywatne,,Dzisiaj o 08:20,https://www.olx.pl/d/oferta/iphone-13-pro-256-gb-stan-idealny-gwarancja-CID99-IDTtoWk.html
19,iPhone 14 pro złoty 128,iPhone 14 Pro,128GB,Nowe,4 600 zł,Prywatne,Złoty,Dzisiaj o 08:20,https://www.olx.pl/d/oferta/iphone-14-pro-zloty-128-CID99-IDWN2DR.html
20,iPhone 13 PRO - 128 GB,iPhone 13 Pro,128GB,Używane,4 099 zł,Prywatne,Szary,Dzisiaj o 08:14,https://www.olx.pl/d/oferta/iphone-13-pro-128-gb-CID99-IDWN2j8.html
21,iPhone 14 pro gold,iPhone 14 Pro,Inna,Nowe,4 790 zł,Prywatne,Czarny,Dzisiaj o 08:12,https://www.olx.pl/d/oferta/iphone-14-pro-gold-CID99-IDWN2es.html
22,iPhone 14 PRO NOWY,iPhone 14 Pro,128GB,Nowe,4 700 zł,Prywatne,Srebrny,Dzisiaj o 07:56,https://www.olx.pl/d/oferta/iphone-14-pro-nowy-CID99-IDWN1rE.html
23,Iphone 14 Pro 512GB Space Black --- RTV Euro AGD ---,iPhone 14 Pro,512GB,Nowe,6 000 zł,Prywatne,,Dzisiaj o 07:52,https://www.olx.pl/d/oferta/iphone-14-pro-512gb-space-black-rtv-euro-agd-CID99-IDU9LEe.html
24,Apple iPhone 14 Pro 256GB Srebrny Gwarancja 12m,iPhone 14 Pro,256GB,Nowe,5 580 zł,Firmowe,,Dzisiaj o 07:29,https://www.olx.pl/d/oferta/apple-iphone-14-pro-256gb-srebrny-gwarancja-12m-CID99-IDTAr3l.html
25,iPhone 13 pro na sprzedaż,iPhone 13 Pro,Inna,Używane,3 700 zł,Prywatne,Szary,Dzisiaj o 07:18,https://www.olx.pl/d/oferta/iphone-13-pro-na-sprzedaz-CID99-IDWMZB6.html
26,iPhone 13 Pro 128gb Sklep Warszawa Gwarancja 12 miesięcy,iPhone 13 Pro,,Używane,3 599 zł,Firmowe,,24 lipca 2023,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-sklep-warszawa-gwarancja-12-miesiecy-CID99-IDSpFaV.html
27,"Apple iPhone 14 Pro Gold, Purple fioletowy Space Black I Silver Zabrze",iPhone 14 Pro,128GB,Nowe,4 699 zł,Firmowe,Fioletowy,17 lipca 2023,https://www.olx.pl/d/oferta/apple-iphone-14-pro-gold-purple-fioletowy-space-black-i-silver-zabrze-CID99-IDSjZOl.html
28,iPhone 13 Pro 128 GB,iPhone 13 Pro,128GB,Używane,3 950 zł,Prywatne,Niebieski,24 lipca 2023,https://www.olx.pl/d/oferta/iphone-13-pro-128-gb-CID99-IDWzdYg.html
29,IPhone 14 pro Nowy. iphone 256GB,iPhone 14 Pro,256GB,Nowe,5 000 zł,Prywatne,Fioletowy,Dzisiaj o 07:05,https://www.olx.pl/d/oferta/iphone-14-pro-nowy-iphone-256gb-CID99-IDWMZ1C.html
30,Iphone 14 Pro 128 srebrny jak Nowy,iPhone 14 Pro,128GB,Używane,4 500 zł,Prywatne,,Dzisiaj o 06:56,https://www.olx.pl/d/oferta/iphone-14-pro-128-srebrny-jak-nowy-CID99-IDWMYEf.html
31,Nowy iPhone 14 Pro 128 Deep Purple iDream Apple,iPhone 14 Pro,128GB,Nowe,4 800 zł,Prywatne,Fioletowy,Dzisiaj o 06:44,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-128-deep-purple-idream-apple-CID99-IDWMYcd.html
32,Sprzedam iPhone 13 Pro Gold Jak Nowy,iPhone 13 Pro,128GB,Używane,3 700 zł,Prywatne,Złoty,Dzisiaj o 05:09,https://www.olx.pl/d/oferta/sprzedam-iphone-13-pro-gold-jak-nowy-CID99-IDWMWQI.html
33,iPhone 14 Pro 512 GB Space Black Nowy!,iPhone 14 Pro,512GB,Nowe,5 800 zł,Prywatne,Czarny,Dzisiaj o 05:04,https://www.olx.pl/d/oferta/iphone-14-pro-512-gb-space-black-nowy-CID99-IDWnw24.html
34,Iphone 12 pro 256 GB,iPhone 14 Pro,256GB,Używane,2 699 zł,Prywatne,Szary,Dzisiaj o 04:46,https://www.olx.pl/d/oferta/iphone-12-pro-256-gb-CID99-IDWMWxG.html
35,Apple iPhone 14 Pro 6/128GB 5G Czarny(Space Black),iPhone 14 Pro,128GB,Nowe,4 800 zł,Prywatne,Czarny,Dzisiaj o 01:08,https://www.olx.pl/d/oferta/apple-iphone-14-pro-6-128gb-5g-czarnyspace-black-CID99-IDWINpO.html
36,iPhone 14 Pro 128GB *nowy* *2 kolory*,iPhone 14 Pro,128GB,Nowe,4 599 zł,Prywatne,,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-nowy-2-kolory-CID99-IDWiSjC.html
37,iPhone 13 pro 128GB Sierra Blue Kraków Krakowska 4 Sklep Mamy Go !,iPhone 13 Pro,256GB,Nowe,4 399 zł,Firmowe,Niebieski,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-sierra-blue-krakow-krakowska-4-sklep-mamy-go-CID99-IDMem37.html
38,Nowy iPhone 14 pro gratis oryginalny case !,iPhone 14 Pro,128GB,Nowe,4 000 zł,Prywatne,Srebrny,07 sierpnia 2023,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-gratis-oryginalny-case-CID99-IDWMS4n.html
39,iPhone 14 PRO GOLD 256GB NOWY,iPhone 14 Pro,256GB,Nowe,5 290 zł,Prywatne,Złoty,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-gold-256gb-nowy-CID99-IDWDNwN.html
40,iPhone 14 Pro 128GB SKLEP AL Jana Pawła II,iPhone 14 Pro,128GB,Nowe,4 650 zł,Firmowe,Srebrny,01 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-sklep-al-jana-pawla-ii-CID99-IDWijMK.html
41,Nowy iPhone 14 Pro 258 GB Czarny,iPhone 14 Pro,256GB,Nowe,5 099 zł,Prywatne,Czarny,07 sierpnia 2023,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-258-gb-czarny-CID99-IDWGFwJ.html
42,Iphone 13 pro 1TB kolory Kraków ul.krakowska 4 Sklep GSM dostępne !,iPhone 13 Pro,Inna,Nowe,5 499 zł,Firmowe,,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-1tb-kolory-krakow-ul-krakowska-4-sklep-gsm-dostepne-CID99-IDRANhH.html
43,"iPhone 13 Pro 128 GB, czarny, stan bdb, bateria 91%",iPhone 13 Pro,128GB,Używane,3 000 zł,Prywatne,Czarny,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-128-gb-czarny-stan-bdb-bateria-91-CID99-IDWMRCA.html
44,iPhone 13 Pro 128Gb idealny zero rys szło etui magsafe,iPhone 13 Pro,128GB,Używane,3 600 zł,Prywatne,Srebrny,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-idealny-zero-rys-szlo-etui-magsafe-CID99-IDWMRte.html
45,Telefon iPhone 13 Pro 128GB POLECAM,iPhone 13 Pro,128GB,Używane,3 799 zł,Prywatne,Czarny,07 sierpnia 2023,https://www.olx.pl/d/oferta/telefon-iphone-13-pro-128gb-polecam-CID99-IDWMPeQ.html
46,Iphone 14 pro GOLD 256GB JAK NOWY! gwarancja!,iPhone 14 Pro,256GB,Używane,4 500 zł,Prywatne,Złoty,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-gold-256gb-jak-nowy-gwarancja-CID99-IDWMOBt.html
47,iPhone 14 PRO 128GB,iPhone 14 Pro,128GB,Nowe,4 500 zł,Prywatne,Czarny,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-CID99-IDWMNUg.html
48,iPhone 13 pro 128 gb,iPhone 13 Pro,128GB,Używane,3 200 zł,Prywatne,Niebieski,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-13-pro-128-gb-CID99-IDWMMC9.html
49,Apple iPhone 13 Pro 128GB Graphite - jak NOWY,iPhone 13 Pro,128GB,Używane,3 750 zł,Prywatne,Szary,07 sierpnia 2023,https://www.olx.pl/d/oferta/apple-iphone-13-pro-128gb-graphite-jak-nowy-CID99-IDWMMh6.html
50,Iphone 14 pro 128gb -SREBRNY  nowy nie rozpakowany. Zdowodem zakupu.,iPhone 14 Pro,128GB,Nowe,4 700 zł,Prywatne,Srebrny,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-srebrny-nowy-nie-rozpakowany-zdowodem-zakupu-CID99-IDWMM4P.html
51,iPhone 14 Pro 256 gb,iPhone 14 Pro,256GB,Nowe,5 500 zł,Prywatne,,07 sierpnia 2023,https://www.olx.pl/d/oferta/iphone-14-pro-256-gb-CID99-IDUU0eP.html
