Tytuł,Model telefonu,Wbudowana pamięć (GB),Stan,Cena (zł),Typ,Kolor,Data ekstraktu,Data opublikowania,URL
iPhone 14 Pro 256GB Złoty,iPhone 14 Pro,256.0,Nowe,5200,Firmowe,Złoty,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-256gb-zloty-CID99-IDWcFhU.html
Iphone 14 pro 128 gb,iPhone 14 Pro,128.0,Używane,4700,Prywatne,Czarny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-128-gb-CID99-IDWNQxR.html
Iphone 14 128Gb nowy fabrycznie! Niebieski! gratis etui ochronne!,iPhone 14 Pro,128.0,Nowe,3599,Prywatne,Czarny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-14-128gb-nowy-fabrycznie-niebieski-gratis-etui-ochronne-CID99-IDW8FDk.html
Apple  iPhone 14 Pro 128GB Silver,iPhone 14 Pro,128.0,Używane,4299,Firmowe,Srebrny,2023-08-09 10:29,2023-07-27 00:00,https://www.olx.pl/d/oferta/apple-iphone-14-pro-128gb-silver-CID99-IDWC1BY.html
Telefon Apple iPhone 13 Pro 256GB Używany –Graphite –LEO–,iPhone 13 Pro,256.0,Używane,3499,Firmowe,Szary,2023-08-09 10:29,2023-08-07 00:00,https://www.olx.pl/d/oferta/telefon-apple-iphone-13-pro-256gb-uzywany-graphite-leo-CID99-IDWgv04.html
iPhone 13 Pro Gold / GWARANCJA / Paragon / Idealny Stan,iPhone 13 Pro,128.0,Używane,3800,Prywatne,Złoty,2023-08-09 10:29,2023-08-06 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-gold-gwarancja-paragon-idealny-stan-CID99-IDWufuE.html
iPhone 13 Pro - 128GB  kondycja baterii 94%,iPhone 13 Pro,128.0,Używane,3849,Prywatne,Szary,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-kondycja-baterii-94-CID99-IDWnkz7.html
Nowy iPhone 14 pro Fiolet Purple REZERWACJA,iPhone 14 Pro,128.0,Nowe,4700,Prywatne,Fioletowy,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-fiolet-purple-rezerwacja-CID99-IDWNP7i.html
Jak nowy iPhone 13 Pro 128gb ! Gwarancja ! Komplet !,iPhone 13 Pro,128.0,Używane,3450,Prywatne,Szary,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/jak-nowy-iphone-13-pro-128gb-gwarancja-komplet-CID99-IDWNNpn.html
IPHONE 14 PRO 256GB GOLD Telakces Manufaktura Łódź,iPhone 14 Pro,256.0,Nowe,5098,Prywatne,Złoty,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-256gb-gold-telakces-manufaktura-lodz-CID99-IDSEJsG.html
Sprzedam iPhone 13 pro,iPhone 13 Pro,128.0,Używane,3700,Prywatne,Niebieski,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/sprzedam-iphone-13-pro-CID99-IDWNKvi.html
iPhone 13 Pro 128GB Graphite | Bateria 90% | Gwarancja | Faktura |,iPhone 13 Pro,128.0,Używane,3499,Firmowe,Szary,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-graphite-bateria-90-gwarancja-faktura-CID99-IDTAAPF.html
"IDEALNY iPhone 13 Pro 256 Gb Graphite, BATT 100%",iPhone 13 Pro,256.0,Używane,3699,Prywatne,Szary,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/idealny-iphone-13-pro-256-gb-graphite-batt-100-CID99-IDWIpj4.html
Iphone 13 pro 256gb kolory Kraków ul.krakowska 4 Sklep GSM,iPhone 13 Pro,256.0,Nowe,4799,Firmowe,,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-256gb-kolory-krakow-ul-krakowska-4-sklep-gsm-CID99-IDWvbXn.html
Nowy IPHONE 14 PRO Space black Zaplombowany  128Gb,iPhone 14 Pro,128.0,Nowe,4490,Prywatne,Czarny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-space-black-zaplombowany-128gb-CID99-IDWNJcU.html
