,Tytuł,Model telefonu,Wbudowana pamięć,Stan,Cena,Typ,Kolor,Opis,Data opublikowania ogłoszenia
38,IPhone 14 Pro Space Black 128GB,iPhone 14 Pro,128GB,Nowe,5 000 zł,Prywatne,Czarny,,05 sierpnia 2023
39,APPLE IPHONE 13 PRO 128 GB | GWAR 24msc | Klasa A+,iPhone 13 Pro,,Używane,3 799 zł,Firmowe,,,16 lipca 2023
40,iPhone 13 PRO 512GB,iPhone 13 Pro,512GB,Używane,4 200 zł,Prywatne,Czarny,,Dzisiaj o 10:49
41,IPhone 14 pro 256 giga nowy nówka,iPhone 14 Pro,256GB,Nowe,4 500 zł,Prywatne,Czarny,,Dzisiaj o 10:39
42,iPhone 13 Pro 512GB,iPhone 13 Pro,512GB,Używane,4 300 zł,Prywatne,Szary,,Dzisiaj o 10:27
43,iPhone 14 Pro | 100% Kondycja | Space Grey 128GB,iPhone 14 Pro,128GB,Używane,4 700 zł,Prywatne,Czarny,,Dzisiaj o 10:18
44,iPhone 13 PRO 1TB Gold-złoty z PL Dystrybucji GW Warszawa,iPhone 13 Pro,Inna,Nowe,5 500 zł,Firmowe,Złoty,,Dzisiaj o 10:07
45,HIT!! iPhone 13 Pro 128GB Silver / Gwarancja 24 mies / Raty0%,iPhone 13 Pro,128GB,Używane,3 899 zł,Firmowe,Srebrny,,Dzisiaj o 10:07
46,iPhone 14 Pro 256gb Czarny Fiolet Złoty Srebrny Żelazna 89 W-wa 5200zł,iPhone 14 Pro,256GB,Nowe,5 200 zł,Firmowe,,,Dzisiaj o 09:56
47,iPhone 14 Pro 128gb Czarny Złoty fioletowy Srebrny Żelazna 89 4700zł,iPhone 14 Pro,128GB,Nowe,4 700 zł,Firmowe,,,Dzisiaj o 09:56
48,iPhone 13 Pro 128 GB Bl,iPhone 13 Pro,,Używane,3 300 zł,Prywatne,,,Dzisiaj o 09:50
49,Telefon  IPHONE 14 PRO 128GB,iPhone 14 Pro,128GB,Używane,4 500 zł,Firmowe,Czarny,,Dzisiaj o 09:39
