,Tytuł,Model telefonu,Wbudowana pamięć,Stan,Cena,Typ,Kolor,Opis,Data opublikowania ogłoszenia
28,iPhone 14 Pro 128GB *nowy* *2 kolory*,iPhone 14 Pro,128GB,Nowe,4 599 zł,Prywatne,,,07 sierpnia 2023
29,iPhone 13 pro 128GB Sierra Blue Kraków Krakowska 4 Sklep Mamy Go !,iPhone 13 Pro,256GB,Nowe,4 399 zł,Firmowe,Niebieski,,07 sierpnia 2023
30,Nowy iPhone 14 pro gratis oryginalny case !,iPhone 14 Pro,128GB,Nowe,4 000 zł,Prywatne,Srebrny,,07 sierpnia 2023
31,Iphone 13 pro 1TB kolory Kraków ul.krakowska 4 Sklep GSM dostępne !,iPhone 13 Pro,Inna,Nowe,5 499 zł,Firmowe,,,07 sierpnia 2023
32,"iPhone 13 Pro 128 GB, czarny, stan bdb, bateria 91%",iPhone 13 Pro,128GB,Używane,3 000 zł,Prywatne,Czarny,,07 sierpnia 2023
33,iPhone 13 Pro 128Gb idealny zero rys szło etui magsafe,iPhone 13 Pro,128GB,Używane,3 600 zł,Prywatne,Srebrny,,07 sierpnia 2023
34,Telefon iPhone 13 Pro 128GB POLECAM,iPhone 13 Pro,128GB,Używane,3 799 zł,Prywatne,Czarny,,07 sierpnia 2023
35,Iphone 14 pro GOLD 256GB JAK NOWY! gwarancja!,iPhone 14 Pro,256GB,Używane,4 500 zł,Prywatne,Złoty,,07 sierpnia 2023
36,iPhone 14 PRO 128GB,iPhone 14 Pro,128GB,Nowe,4 500 zł,Prywatne,Czarny,,07 sierpnia 2023
37,iPhone 13 pro 128 gb,iPhone 13 Pro,128GB,Używane,3 200 zł,Prywatne,Niebieski,,07 sierpnia 2023
38,OKAZJA NOWY Z AMAZON Apple iPhone 14 Pro (128 GB) - Srebrny,iPhone 14 Pro,128GB,Nowe,4 749 zł,Prywatne,Srebrny,,28 lipca 2023
39,iPhone 14 Pro 128GB Black/Purple/Gold/Silver Kraków ul.krakowska 4,iPhone 14 Pro,128GB,Nowe,4 699 zł,Firmowe,,,06 sierpnia 2023
40,iPhone 13 Pro 256gb Bateria 100% Sklep Warszawa Gwarancja 12 miesięcy,iPhone 13 Pro,256GB,Używane,4 249 zł,Firmowe,,,24 lipca 2023
41,Apple iPhone 13 Pro 128GB Graphite - jak NOWY,iPhone 13 Pro,128GB,Używane,3 750 zł,Prywatne,Szary,,07 sierpnia 2023
42,Iphone 14 pro 128gb -SREBRNY  nowy nie rozpakowany. Zdowodem zakupu.,iPhone 14 Pro,128GB,Nowe,4 700 zł,Prywatne,Srebrny,,07 sierpnia 2023
43,iPhone 14 Pro 256 gb,iPhone 14 Pro,256GB,Nowe,5 500 zł,Prywatne,,,07 sierpnia 2023
44,iPhone 14 Pro 512 GB Space Black VAT 23%,iPhone 14 Pro,512GB,Nowe,5 999 zł,Prywatne,Czarny,,07 sierpnia 2023
45,Iphone 14pro nowy,iPhone 14 Pro,128GB,Nowe,5 100 zł,Prywatne,,,07 sierpnia 2023
46,"iPhone 14 Pro 256GB Fiolet | GW24m | Możliwa Zamiana na 14, 13 Pro",iPhone 14 Pro,256GB,Nowe,4 800 zł,Prywatne,Fioletowy,,07 sierpnia 2023
47,iPhone 14 Pro 256Gb Space Gray,iPhone 14 Pro,256GB,Używane,4 500 zł,Prywatne,Czarny,,07 sierpnia 2023
48,IPhone 13 Pro 128 gb ideally stan,iPhone 13 Pro,128GB,Używane,3 400 zł,Prywatne,Szary,,07 sierpnia 2023
49,IPHONE 14 pro złoty 128 Gb,iPhone 14 Pro,128GB,Nowe,4 600 zł,Prywatne,,,07 sierpnia 2023
50,"Iphone 13 Pro 128GB Gold - Zadbany ,stan bardzo dobry",iPhone 13 Pro,128GB,Używane,4 100 zł,Prywatne,Złoty,,07 sierpnia 2023
